Buyer ID,Name,Phone,Email,Interested Properties
BUYR0001,ZJNCMS,+1-629-680-3018,dryot@sqt.com,PROP0050
BUYR0002,VEPIER,+1-448-981-6963,ruqvm@ftp.com,PROP0028
BUYR0003,ABCCXG,+1-637-313-1829,mzsnu@rgs.com,"PROP0006,PROP0037"
BUYR0004,WXWDFS,+1-523-868-5842,yqadf@czo.com,"PROP0002,PROP0045,PROP0025,PROP0043"
BUYR0005,QMTASP,+1-930-850-9132,djyzz@tal.com,"PROP0035,PROP0001,PROP0049"
BUYR0006,JXJRJM,+1-524-611-5602,hsgfs@hps.com,PROP0030
BUYR0007,ZSYDWK,+1-494-863-4332,fgdls@dlo.com,"PROP0048,PROP0011,PROP0012,PROP0017,PROP0039"
BUYR0008,UGLZTO,+1-850-999-9932,qbkeo@bdb.com,"PROP0032,PROP0045,PROP0035,PROP0016"
BUYR0009,UBBWVF,+1-447-553-6537,naebt@wst.com,"PROP0003,PROP0041"
BUYR0010,RQNNLT,+1-490-959-7212,zvmjo@kgu.com,"PROP0005,PROP0045,PROP0006,PROP0002,PROP0006"
BUYR0011,CWMIKX,+1-384-284-4531,nbmzu@xxh.com,"PROP0005,PROP0020,PROP0029,PROP0030,PROP0011"
BUYR0012,SSACLI,+1-212-425-3654,djggk@uuc.com,PROP0038
BUYR0013,OIMUFO,+1-335-471-5171,yxeuw@aym.com,"PROP0045,PROP0006,PROP0003,PROP0003,PROP0008"
BUYR0014,JVHOWH,+1-470-466-3570,uppqx@duy.com,"PROP0008,PROP0014,PROP0020,PROP0037,PROP0032"
BUYR0015,QIYAZD,+1-472-367-2751,tsmsq@ozf.com,"PROP0017,PROP0030,PROP0003,PROP0025,PROP0024"
BUYR0016,NFFNSE,+1-705-330-1657,ywxng@pja.com,"PROP0047,PROP0006"
BUYR0017,SXWZTF,+1-803-234-7065,docik@ruv.com,"PROP0028,PROP0045"
BUYR0018,VBAITY,+1-691-452-1981,yjgzl@uuh.com,"PROP0049,PROP0007,PROP0006,PROP0016,PROP0017"
BUYR0019,VRZAJQ,+1-798-510-2142,gadga@jwb.com,"PROP0042,PROP0031,PROP0018,PROP0004"
BUYR0020,ESWLSE,+1-971-594-5139,xnbso@lkg.com,"PROP0017,PROP0034,PROP0009"
BUYR0021,JNTGMJ,+1-287-717-1910,edeov@nvo.com,"PROP0015,PROP0026"
BUYR0022,XXELIE,+1-848-518-3967,zoaci@hhy.com,PROP0038
BUYR0023,IFGXNF,+1-516-326-5003,upnrl@zov.com,PROP0022
BUYR0024,TGNHRW,+1-971-309-1540,gjyhl@kkg.com,"PROP0040,PROP0045,PROP0015,PROP0040,PROP0037"
BUYR0025,HJFMPX,+1-629-482-6370,esfff@qbf.com,"PROP0020,PROP0026,PROP0035,PROP0016,PROP0003"
BUYR0026,MFGQRI,+1-932-806-6791,ydvog@dcd.com,PROP0045
BUYR0027,PHMSIR,+1-624-975-1540,jikzl@dsd.com,"PROP0021,PROP0050,PROP0032"
BUYR0028,RXWKII,+1-735-443-2166,tkeuo@dan.com,"PROP0013,PROP0040,PROP0035"
BUYR0029,ROGTQY,+1-391-631-3272,frmnh@eeg.com,"PROP0038,PROP0006,PROP0006,PROP0007"
BUYR0030,UAOMVR,+1-988-472-8765,crilz@spm.com,"PROP0043,PROP0008,PROP0035,PROP0037,PROP0042"
BUYR0031,BBQKSC,+1-332-947-9271,lrgbe@jgx.com,"PROP0012,PROP0007,PROP0004,PROP0031"
BUYR0032,ZGDXVH,+1-272-483-4884,hnwze@rwo.com,PROP0029
BUYR0033,AMGFTD,+1-916-327-3646,gwxxj@mdo.com,PROP0039
BUYR0034,JVYRLB,+1-383-263-4897,dkpja@vld.com,PROP0040
BUYR0035,NURVUG,+1-552-983-4102,zzlys@rll.com,"PROP0004,PROP0016,PROP0009,PROP0044,PROP0027"
BUYR0036,IFPESA,+1-937-428-1058,sowta@tvd.com,"PROP0011,PROP0020"
BUYR0037,UJKRGN,+1-974-441-3701,pczjp@bpv.com,"PROP0022,PROP0003,PROP0015,PROP0048,PROP0046"
BUYR0038,PKVSMI,+1-477-523-1484,jrpob@rcj.com,"PROP0041,PROP0044,PROP0045"
BUYR0039,PWZNZN,+1-424-308-9168,vojgc@fof.com,"PROP0035,PROP0043,PROP0001"
BUYR0040,QTEQWO,+1-264-492-8233,bdkgq@xdm.com,"PROP0029,PROP0037,PROP0045,PROP0023"
BUYR0041,EUQOIW,+1-891-313-2544,bpsds@ody.com,"PROP0005,PROP0041,PROP0032"
BUYR0042,ESRLDH,+1-583-737-7160,alycl@dor.com,"PROP0017,PROP0028"
BUYR0043,MBVPEV,+1-484-369-4488,hwpsg@uoq.com,"PROP0022,PROP0010,PROP0001,PROP0011,PROP0047"
BUYR0044,LUOBIC,+1-954-323-9468,mdztd@iah.com,"PROP0009,PROP0010,PROP0004,PROP0014"
BUYR0045,JBDVFJ,+1-678-608-1695,pdigl@krn.com,"PROP0032,PROP0012,PROP0011"
BUYR0046,MEABIQ,+1-581-471-6734,nfcyz@zmf.com,PROP0049
BUYR0047,LVGCZC,+1-238-830-3590,rhbfn@qid.com,"PROP0008,PROP0036,PROP0015"
BUYR0048,ZVUFCI,+1-704-711-4780,ifqgx@ghu.com,"PROP0019,PROP0005,PROP0037"
BUYR0049,QVFKBY,+1-958-439-3881,ccivb@rmh.com,"PROP0036,PROP0038,PROP0038,PROP0048"
BUYR0050,CZBXFC,+1-769-753-5409,iooll@spz.com,"PROP0031,PROP0022"
